Specimen properties : Specimen label,"8"
Specimen properties : Anvil height,"6.25000",mm
Specimen properties : Diameter,"10.25000",mm
Test : Rate 1,"24.00000",mm/min
Test : Start of hold value,"20.00000",%
Test : Duration,"120.00000",s

Extension,Load,Compressive stress,Time,PIP count,Compressive extension,Compressive strain (Extension)
(mm),(N),(MPa),(s),,(mm),(mm/mm)
"0.00042","0.05228","0.00063","0.00000","0.00000","0.00042","0.00007"
"0.00063","0.05621","0.00068","0.01000","0.00000","0.00063","0.00010"
"0.00125","0.06424","0.00078","0.02000","0.00000","0.00125","0.00020"
"0.00229","0.09937","0.00120","0.03000","0.00000","0.00229","0.00037"
"0.00375","0.19062","0.00231","0.04000","0.00000","0.00375","0.00060"
"0.00563","0.35088","0.00425","0.05000","0.00000","0.00563","0.00090"
"0.00792","0.59882","0.00726","0.06000","0.00000","0.00792","0.00127"
"0.01104","0.94925","0.01150","0.07000","0.00000","0.01104","0.00177"
"0.01458","1.42487","0.01727","0.08000","0.00000","0.01458","0.00233"
"0.01833","2.02238","0.02451","0.09000","0.00000","0.01833","0.00293"
"0.02271","2.73573","0.03315","0.10000","0.00000","0.02271","0.00363"
"0.02750","3.55002","0.04302","0.11000","0.00000","0.02750","0.00440"
"0.03208","4.44437","0.05386","0.12000","0.00000","0.03208","0.00513"
"0.03708","5.39531","0.06539","0.13000","0.00000","0.03708","0.00593"
"0.04167","6.37037","0.07720","0.14000","0.00000","0.04167","0.00667"
"0.04625","7.34338","0.08899","0.15000","0.00000","0.04625","0.00740"
"0.05083","8.29011","0.10047","0.16000","0.00000","0.05083","0.00813"
"0.05542","9.20054","0.11150","0.17000","0.00000","0.05542","0.00887"
"0.05979","10.07324","0.12208","0.18000","0.00000","0.05979","0.00957"
"0.06438","10.91757","0.13231","0.19000","0.00000","0.06438","0.01030"
"0.06896","11.75105","0.14241","0.20000","0.00000","0.06896","0.01103"
"0.07375","12.58639","0.15253","0.21000","0.00000","0.07375","0.01180"
"0.07833","13.42552","0.16270","0.22000","0.00000","0.07833","0.01253"
"0.08292","14.26853","0.17292","0.23000","0.00000","0.08292","0.01327"
"0.08729","15.11151","0.18313","0.24000","0.00000","0.08729","0.01397"
"0.09188","15.93492","0.19311","0.25000","0.00000","0.09188","0.01470"
"0.09625","16.73271","0.20278","0.26000","0.00000","0.09625","0.01540"
"0.10063","17.49968","0.21208","0.27000","0.00000","0.10063","0.01610"
"0.10500","18.23261","0.22096","0.28000","0.00000","0.10500","0.01680"
"0.10938","18.94370","0.22958","0.29000","0.00000","0.10938","0.01750"
"0.11396","19.64061","0.23802","0.30000","0.00000","0.11396","0.01823"
"0.11833","20.32379","0.24630","0.31000","0.00000","0.11833","0.01893"
"0.12271","20.99804","0.25447","0.32000","0.00000","0.12271","0.01963"
"0.12708","21.65545","0.26244","0.33000","0.00000","0.12708","0.02033"
"0.13125","22.29289","0.27016","0.34000","0.00000","0.13125","0.02100"
"0.13542","22.91314","0.27768","0.35000","0.00000","0.13542","0.02167"
"0.13958","23.51094","0.28493","0.36000","0.00000","0.13958","0.02233"
"0.14375","24.08426","0.29187","0.37000","0.00000","0.14375","0.02300"
"0.14813","24.64753","0.29870","0.38000","0.00000","0.14813","0.02370"
"0.15229","25.19804","0.30537","0.39000","0.00000","0.15229","0.02437"
"0.15687","25.74371","0.31198","0.40000","0.00000","0.15687","0.02510"
"0.16125","26.30350","0.31877","0.41000","0.00000","0.16125","0.02580"
"0.16542","26.87342","0.32568","0.42000","0.00000","0.16542","0.02647"
"0.16958","27.43879","0.33253","0.43000","0.00000","0.16958","0.02713"
"0.17375","27.99335","0.33925","0.44000","0.00000","0.17375","0.02780"
"0.17771","28.53888","0.34586","0.45000","0.00000","0.17771","0.02843"
"0.18188","29.05397","0.35210","0.46000","0.00000","0.18188","0.02910"
"0.18583","29.54745","0.35808","0.47000","0.00000","0.18583","0.02973"
"0.19021","30.03362","0.36397","0.48000","0.00000","0.19021","0.03043"
"0.19438","30.53169","0.37001","0.49000","0.00000","0.19438","0.03110"
"0.19854","31.03402","0.37610","0.50000","0.00000","0.19854","0.03177"
"0.20271","31.54723","0.38232","0.51000","0.00000","0.20271","0.03243"
"0.20687","32.06966","0.38865","0.52000","0.00000","0.20687","0.03310"
"0.21104","32.59125","0.39497","0.53000","0.00000","0.21104","0.03377"
"0.21500","33.10805","0.40123","0.54000","0.00000","0.21500","0.03440"
"0.21896","33.61405","0.40736","0.55000","0.00000","0.21896","0.03503"
"0.22313","34.09843","0.41323","0.56000","0.00000","0.22313","0.03570"
"0.22708","34.57513","0.41901","0.57000","0.00000","0.22708","0.03633"
"0.23125","35.03892","0.42463","0.58000","0.00000","0.23125","0.03700"
"0.23542","35.50406","0.43027","0.59000","0.00000","0.23542","0.03767"
"0.23979","35.99080","0.43617","0.60000","0.00000","0.23979","0.03837"
"0.24417","36.49876","0.44232","0.61000","0.00000","0.24417","0.03907"
"0.24833","37.02338","0.44868","0.62000","0.00000","0.24833","0.03973"
"0.25229","37.55053","0.45507","0.63000","0.00000","0.25229","0.04037"
"0.25625","38.06547","0.46131","0.64000","0.00000","0.25625","0.04100"
"0.26021","38.55266","0.46721","0.65000","0.00000","0.26021","0.04163"
"0.26417","39.00819","0.47274","0.66000","0.00000","0.26417","0.04227"
"0.26812","39.44739","0.47806","0.67000","0.00000","0.26812","0.04290"
"0.27208","39.87822","0.48328","0.68000","0.00000","0.27208","0.04353"
"0.27625","40.31900","0.48862","0.69000","0.00000","0.27625","0.04420"
"0.28042","40.77076","0.49410","0.70000","0.00000","0.28042","0.04487"
"0.28458","41.24122","0.49980","0.71000","0.00000","0.28458","0.04553"
"0.28854","41.72179","0.50562","0.72000","0.00000","0.28854","0.04617"
"0.29250","42.19524","0.51136","0.73000","0.00000","0.29250","0.04680"
"0.29646","42.65269","0.51690","0.74000","0.00000","0.29646","0.04743"
"0.30021","43.08888","0.52219","0.75000","0.00000","0.30021","0.04803"
"0.30417","43.50700","0.52726","0.76000","0.00000","0.30417","0.04867"
"0.30813","43.92087","0.53227","0.77000","0.00000","0.30813","0.04930"
"0.31208","44.33373","0.53728","0.78000","0.00000","0.31208","0.04993"
"0.31604","44.76066","0.54245","0.79000","0.00000","0.31604","0.05057"
"0.32042","45.20422","0.54782","0.80000","0.00000","0.32042","0.05127"
"0.32458","45.66788","0.55344","0.81000","0.00000","0.32458","0.05193"
"0.32854","46.14751","0.55926","0.82000","0.00000","0.32854","0.05257"
"0.33250","46.64127","0.56524","0.83000","0.00000","0.33250","0.05320"
"0.33646","47.12446","0.57110","0.84000","0.00000","0.33646","0.05383"
"0.34042","47.58761","0.57671","0.85000","0.00000","0.34042","0.05447"
"0.34417","48.02870","0.58205","0.86000","0.00000","0.34417","0.05507"
"0.34813","48.45653","0.58724","0.87000","0.00000","0.34813","0.05570"
"0.35208","48.88253","0.59240","0.88000","0.00000","0.35208","0.05633"
"0.35625","49.31482","0.59764","0.89000","0.00000","0.35625","0.05700"
"0.36042","49.76380","0.60308","0.90000","0.00000","0.36042","0.05767"
"0.36458","50.22783","0.60870","0.91000","0.00000","0.36458","0.05833"
"0.36875","50.72048","0.61468","0.92000","0.00000","0.36875","0.05900"
"0.37271","51.22981","0.62085","0.93000","0.00000","0.37271","0.05963"
"0.37667","51.73094","0.62692","0.94000","0.00000","0.37667","0.06027"
"0.38063","52.20905","0.63272","0.95000","0.00000","0.38063","0.06090"
"0.38458","52.66603","0.63825","0.96000","0.00000","0.38458","0.06153"
"0.38854","53.10503","0.64357","0.97000","0.00000","0.38854","0.06217"
"0.39271","53.53433","0.64878","0.98000","0.00000","0.39271","0.06283"
"0.39667","53.97550","0.65412","0.99000","0.00000","0.39667","0.06347"
"0.40083","54.42545","0.65958","1.00000","0.00000","0.40083","0.06413"
"0.40500","54.89536","0.66527","1.01000","0.00000","0.40500","0.06480"
"0.40896","55.37447","0.67108","1.02000","0.00000","0.40896","0.06543"
"0.41313","55.85246","0.67687","1.03000","0.00000","0.41313","0.06610"
"0.41688","56.33406","0.68271","1.04000","0.00000","0.41688","0.06670"
"0.42083","56.79251","0.68826","1.05000","0.00000","0.42083","0.06733"
"0.42479","57.23381","0.69361","1.06000","0.00000","0.42479","0.06797"
"0.42875","57.66317","0.69881","1.07000","0.00000","0.42875","0.06860"
"0.43292","58.09889","0.70409","1.08000","0.00000","0.43292","0.06927"
"0.43688","58.55513","0.70962","1.09000","0.00000","0.43688","0.06990"
"0.44104","59.01546","0.71520","1.10000","0.00000","0.44104","0.07057"
"0.44521","59.48880","0.72094","1.11000","0.00000","0.44521","0.07123"
"0.44938","59.96696","0.72673","1.12000","0.00000","0.44938","0.07190"
"0.45354","60.45424","0.73264","1.13000","0.00000","0.45354","0.07257"
