Specimen properties : Specimen label,"4"
Specimen properties : Anvil height,"6.34000",mm
Specimen properties : Diameter,"10.28000",mm
Test : Rate 1,"2.40000",mm/min
Test : Start of hold value,"20.00000",%
Test : Duration,"120.00000",s

Extension,Load,Compressive stress,Time,PIP count,Compressive extension,Compressive strain (Extension)
(mm),(N),(MPa),(s),,(mm),(mm/mm)
"0.00000","0.00089","0.00001","0.00000","0.00000","0.00000","0.00000"
"0.00000","-0.00038","0.00000","0.01000","0.00000","0.00000","0.00000"
"0.00000","0.00001","0.00000","0.02000","0.00000","0.00000","0.00000"
"0.00000","0.00038","0.00000","0.03000","0.00000","0.00000","0.00000"
"0.00000","0.00155","0.00002","0.04000","0.00000","0.00000","0.00000"
"0.00000","0.00104","0.00001","0.05000","0.00000","0.00000","0.00000"
"0.00000","0.00255","0.00003","0.06000","0.00000","0.00000","0.00000"
"0.00000","0.00542","0.00007","0.07000","0.00000","0.00000","0.00000"
"0.00042","0.01099","0.00013","0.08000","0.00000","0.00042","0.00007"
"0.00063","0.01933","0.00023","0.09000","0.00000","0.00063","0.00010"
"0.00063","0.03237","0.00039","0.10000","0.00000","0.00063","0.00010"
"0.00063","0.04097","0.00049","0.11000","0.00000","0.00063","0.00010"
"0.00083","0.04960","0.00060","0.12000","0.00000","0.00083","0.00013"
"0.00104","0.05590","0.00067","0.13000","0.00000","0.00104","0.00016"
"0.00104","0.06225","0.00075","0.14000","0.00000","0.00104","0.00016"
"0.00125","0.06734","0.00081","0.15000","0.00000","0.00125","0.00020"
"0.00146","0.07637","0.00092","0.16000","0.00000","0.00146","0.00023"
"0.00146","0.08964","0.00108","0.17000","0.00000","0.00146","0.00023"
"0.00167","0.10174","0.00123","0.18000","0.00000","0.00167","0.00026"
"0.00188","0.11400","0.00137","0.19000","0.00000","0.00188","0.00030"
"0.00208","0.12840","0.00155","0.20000","0.00000","0.00208","0.00033"
"0.00229","0.14319","0.00173","0.21000","0.00000","0.00229","0.00036"
"0.00250","0.15990","0.00193","0.22000","0.00000","0.00250","0.00039"
"0.00271","0.17723","0.00214","0.23000","0.00000","0.00271","0.00043"
"0.00313","0.19567","0.00236","0.24000","0.00000","0.00312","0.00049"
